ticker,disclosure_type,figure_or_paraphrase,source_quarter,source_date,source_document,link,status
AMZN,depreciation_policy,"""FY2025 10-K PP&E note (as of Dec 31, 2025): servers/networking equipment useful life 5-6 years. Two changes disclosed: extended 5?6 yrs effective Jan 1, 2024; then a subset of servers/networking equipment shortened 6?5 yrs effective Jan 1, 2025 (opposite direction - unlike MSFT/ORCL's straight extensions). Heavy equipment (datacenter infrastructure) widened from flat 10 yrs to 10-13 yrs. D&A expense: consolidated $9,766M?$13,869M (Q2 YoY, +42%); AWS six-month D&A nearly doubled, $9,234M?$15,353M.""",FY25,02-05-26,10-K Filing,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/85f3e1a7-bdb4-428e-a980-90bad4117b3d.pdf,Disclosed
AMZN,AI Revenue,"AWS's AI business and its Chips business each independently exceeded a $25 billion annualized revenue run rate as of Q2 2026, both growing triple-digit percentages year-over-year (stated by CEO Andy Jassy, also confirmed as separate bullet highlights). Broader context: total AWS segment net sales were $42.2B in Q2 2026 (+37% YoY), an annualized run rate of ~$169B - used as a cloud/demand proxy, not an isolated AI figure.",Q2 2026,07/30/26,Earnings press release (CEO quote + bullet highlights),https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,Partial
AMZN,capex_guidance,"Cash capex $31.4B?$53.1B (Q2 YoY, +69%); $55.6B?$96.3B (six months YoY, +73%). Primarily technology infrastructure (majority supporting AWS) and fulfillment network capacity; company states both are expected to increase in 2026 (qualitative, no specific dollar target)",Q2 2026,07/30/26,"10-Q, Item 2 MD&A, ""Liquidity and Capital Resources,"" p. 27",https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/8b65cc1d-13ba-4465-ab3b-7b408e2fcdaf.pdf,Disclosed
AMZN,ai_equity_investments,"Amazon holds direct equity stakes in OpenAI and Anthropic. OpenAI: $15.0B Series C Preferred (Q1 2026) + $35.0B commitment letter, $13.7B drawn Q2 2026, remaining $21.3B funded after quarter-end - full $50.0B now funded. Anthropic: $8.0B convertible notes (2023-2025) + $10.0B in Series G/H preferred stock in Q2 2026 alone, plus up to $15.0B remaining financing facility. Combined carrying value of private AI equity stakes: $16.2B (Dec 2025) ? $122.3B (Jun 2026), mostly unrealized gains ($50.5B in Q2 2026 alone). Both relationships include obligations tied to ""performance of AWS chips"" - AWS's commercial commitments to OpenAI and Anthropic each expanded by $100B (over 8 and 10 years respectively) the same quarter.",Q2 2026,07/30/26,"10-Q, Note 2 ""Financial Instruments - Non-Marketable Investments,"" pp. 11-12",https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/8b65cc1d-13ba-4465-ab3b-7b408e2fcdaf.pdf,Disclosed
GOOGL,AI Revenue,"Cloud revenue $24.8B (+82% YoY), driven by GCP/AI solutions/AI infrastructure - proxy, not isolated. Cloud backlog $514B, up $50B+ sequentially, driven by AI demand. First-ever TPU system sales revenue recognized this quarter (small now; ""vast majority"" expected in 2027). Subscriptions/Platforms/Devices +15% to $12.9B, partly Google One ""AI plans"" - blended signal.",Q2 2026,07/22/26,"Earnings call transcript (Anat Ashkenazi, CFO)",https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Partial
GOOGL,capex_guidance,"Confirms call figures: six-month capex $39.6B?$80.6B (+104% YoY); Q2 standalone $44.9B. Technical infrastructure = 60% servers/network equipment, 40% land/buildings (10-Q footnote matches call disclosure exactly). Q2 capex $44.9B, ~60% servers/40% datacenters+networking (only company to disclose this split). FY2026 guidance raised mid-year to $195-205B (from $180-190B). FY2027: qualitative only, ""expect to increase significantly,"" details later.",Q2 2026,07/22/26,"Earnings call transcript (Anat Ashkenazi, CFO)",https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Disclosed
GOOGL,depreciation_policy,"No useful-life table or change disclosed in Q2 2026 10-Q (contrast: Oracle and Amazon both disclose year-range tables; Alphabet's PP&E note does not). Only recognition-timing policy stated: depreciation begins when assets are placed in service. Depreciation expense $9.5B?$13.6B (6mo YoY, +43%).",Q2 2026,07/22/26,"Earnings call transcript (Anat Ashkenazi, CFO)",https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Not Disclosed
GOOGL,ai_capital_raise,"June 2026: raised $49.6B net proceeds via Class A/C stock + mandatory convertible preferred stock, explicitly to scale AI infrastructure/compute. Additional $40.0B ATM program authorized, undrawn as of Jun 30, 2026. Q2 2026: $20.3B in senior unsecured notes issued. Reconciles to cash flow statement ($30,499M common stock + $19,063M preferred ? $49.6B).",Q2 2026,07/22/26,"10-Q, MD&A ""Other Information""",https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Disclosed
META,AI Revenue,"Advantage+ (AI-powered end-to-end ad automation) exceeded $75B annual revenue run-rate in Q2 2026 - a named, isolated AI product figure, not a segment proxy. Supporting: new ad-ranking model drove +8.3% ad clicks, +15.7% conversions (Facebook); early LLM retrieval pilots drove +1% app event conversions (Instagram). Reality Labs Q2 revenue $431M (+16%), credited to AI glasses.",Q2 2026,07/29/26,"Earnings call transcript (Susan Li, CFO, prepared remarks)",https://s21.q4cdn.com/399680738/files/doc_financials/2026/q2/META-Q2-2026-Earnings-Call-Transcript.pdf,Disclosed
META,capex_guidance,"FY2026 capex guidance narrowed to $130-145B (incl. finance lease principal payments), from prior $125-145B - matches across call and 10-Q. H1 2026 actual capex: $49.11B. Explicitly tied to ""AI efforts and core business.""",Q2 2026,07/29/26,Earnings call transcript + 10-Q MD&A,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001326801/abad2059-196d-46e3-8534-cab5756a1926.pdf,Disclosed
